Date,AXISBANK.NS,HDFCBANK.NS,ICICIBANK.NS,KOTAKBANK.NS,PNB.NS,SBIN.NS
2015-01-01,486.9628601074219,217.2353515625,294.0238342285156,124.95896911621094,198.7763671875,274.92498779296875
2015-01-02,497.8530578613281,220.25868225097656,302.3697204589844,126.24469757080078,198.912109375,276.01947021484375
2015-01-05,500.9991760253906,218.39906311035156,302.99560546875,125.73833465576172,197.05694580078125,273.83056640625
2015-01-06,483.0907897949219,214.9992218017578,290.14306640625,124.2391586303711,188.00723266601562,262.5796203613281
2015-01-07,482.70355224609375,215.62672424316406,282.2979736328125,126.2397232055664,184.4778594970703,262.7985534667969
2015-01-08,485.8980407714844,220.156005859375,289.9761657714844,133.105224609375,186.92127990722656,266.9136657714844
2015-01-09,479.1219482421875,222.6202850341797,285.302490234375,135.1206817626953,186.96652221679688,265.468994140625
2015-01-12,485.5108642578125,220.6580047607422,289.2249755859375,136.1184844970703,189.09320068359375,268.8836669921875
2015-01-13,488.3664855957031,219.81375122070312,284.5096130371094,138.29779052734375,187.64524841308594,267.1325378417969
2015-01-14,483.6231994628906,219.93922424316406,281.1712951660156,138.12405395507812,183.75389099121094,266.7823181152344
2015-01-15,497.6111145019531,226.6134033203125,294.4828796386719,139.03746032714844,190.0886688232422,280.44097900390625
2015-01-16,498.3371276855469,228.48443603515625,295.3174743652344,138.53607177734375,185.5638427734375,276.194580078125
2015-01-19,512.0346069335938,229.214599609375,301.1177673339844,137.95030212402344,188.09774780273438,274.1808166503906
2015-01-20,533.7667846679688,232.95672607421875,306.918212890625,138.57083129882812,189.3647003173828,278.55853271484375
2015-01-21,529.7493896484375,232.72854614257812,307.50238037109375,137.8212432861328,195.47320556640625,285.6068115234375
2015-01-22,546.6898193359375,233.02517700195312,308.62908935546875,137.7715606689453,192.5773468017578,284.2496643066406
2015-01-23,547.076904296875,237.94236755371094,309.38018798828125,137.53826904296875,187.46426391601562,286.7012634277344
2015-01-27,573.1651611328125,245.07289123535156,320.0628662109375,137.841064453125,185.20184326171875,288.9776611328125
2015-01-28,571.7130126953125,241.49050903320312,320.5218811035156,134.147705078125,187.05703735351562,292.9615173339844
2015-01-29,580.328369140625,249.85321044921875,317.3922119140625,132.18685913085938,180.17926025390625,286.3072204589844
2015-01-30,569.2930297851562,245.8258514404297,301.03436279296875,131.27342224121094,171.62728881835938,270.5034484863281
2015-02-02,597.559326171875,246.79556274414062,293.6483459472656,134.26686096191406,173.57298278808594,269.23388671875
2015-02-03,567.8409423828125,242.80250549316406,289.2666931152344,129.69483947753906,160.04371643066406,262.9298400878906
2015-02-04,540.7363891601562,243.62393188476562,287.6392517089844,128.2253875732422,160.26995849609375,256.5820617675781
2015-02-05,547.802978515625,245.6319122314453,280.0863037109375,127.86798095703125,155.1116180419922,254.612060546875
2015-02-06,545.1410522460938,240.38385009765625,274.87017822265625,125.78302764892578,154.2519073486328,254.1742706298828
